shard_number,txn_hash,from_address,to_address,age,txn_value,txn_fee
0,0x3be...8141b,one18...jp9gh,one12...p38yr,08/18/2020 15:07:22 MDT,1889999.999,0
0,0x816...23df7,one1t...eqd04,one12...p38yr,08/18/2020 15:07:17 MDT,100,0
0,0x055...82a43,one10...qewsp,one12...p38yr,08/18/2020 15:07:17 MDT,2028610.192,0
0,0xe78...d076e,one1k...sltff,one12...p38yr,08/18/2020 15:07:12 MDT,109539.4489,0
0,0xb84...f5e51,one1m...tznrp,one12...p38yr,08/18/2020 15:07:12 MDT,69900,0
0,0x6ef...e7264,one1r...rrrts,one12...p38yr,08/18/2020 15:07:07 MDT,207697.254,0
0,0x5ef...da35e,one1p...gc45f,one12...p38yr,08/18/2020 15:07:07 MDT,81345.6806,0
0,0x979...404a8,one1w...2xt26,one1r...acgdf,08/18/2020 15:06:57 MDT,218072.708,0.000021
0,0xbd8...a06cb,one1j...u04u8,one1x...n5949,08/18/2020 15:03:02 MDT,0,0.01000001
0,0xc3c...8c79e,one1t...2r54m,one10...p6gwz,08/18/2020 15:00:22 MDT,12,0.000021
0,0xf4f...c5b2a,one1w...2xt26,one1v...ggl75,08/18/2020 14:58:51 MDT,149916.579,0.000021
0,0xf72...e84ca,one1j...u04u8,one1x...n5949,08/18/2020 14:58:06 MDT,0,0.01000001
0,0x708...cef3b,one1l...5wrt0,one1w...2xt26,08/18/2020 14:56:15 MDT,10199,0.000021
0,0xb21...5b7b9,one1s...4z6s0,one1q...75u46,08/18/2020 14:54:45 MDT,264299.999,0.000021
0,0x702...c901e,one1w...2xt26,one1s...4z6s0,08/18/2020 14:54:40 MDT,264299.999,0.000021
0,0x8ad...38542,one1q...8wd2t,one1r...57uxv,08/18/2020 14:54:35 MDT,60163,0.00021
0,0xced...647ff,one1j...u04u8,one1x...n5949,08/18/2020 14:53:05 MDT,0,0.01000001
0,0xa97...73d0c,one1l...mp4uy,one1w...2xt26,08/18/2020 14:50:30 MDT,22053.5204,0.000021
0,0x863...7eebe,one1q...4pmy5,one1v...2yjhr,08/18/2020 14:49:05 MDT,15000,0.000021
0,0xc92...3b3cd,one1j...u04u8,one1x...n5949,08/18/2020 14:48:05 MDT,0,0.01000001
0,0x126...42e3f,one15...nrwk8,one1q...4pmy5,08/18/2020 14:47:25 MDT,15000,0.000021
0,0x384...f02be,one1t...nd7gz,one10...2v4f7,08/18/2020 14:46:30 MDT,0,0.00025
0,0x764...e336f,one18...zh3r5,one10...2v4f7,08/18/2020 14:44:05 MDT,0,0.00025
0,0x85d...00da9,one17...mypas,one1w...2xt26,08/18/2020 14:44:00 MDT,10045.899,0.000021
0,0x697...c4e2f,one1j...u04u8,one1x...n5949,08/18/2020 14:43:05 MDT,0,0.01000001
0,0xf82...e9b0f,one1m...kvnag,one1f...3clvs,08/18/2020 14:42:05 MDT,38.6894,0
0,0x06f...18899,one1p...sd2f8,one1q...8wd2t,08/18/2020 14:40:55 MDT,165187,0.00021
0,0x6de...b82f7,one1p...ashr4,one1p...sd2f8,08/18/2020 14:40:00 MDT,165187,0.000021
0,0x726...2faeb,one1j...u04u8,one1x...n5949,08/18/2020 14:38:05 MDT,0,0.01000001
0,0xb61...0f47c,one1q...8wd2t,one12...wy6vj,08/18/2020 14:34:03 MDT,162563,0.00021
0,0x2e3...805c2,one1q...8wd2t,one18...zp09d,08/18/2020 14:34:03 MDT,476363,0.00021
0,0xe40...b414a,one1j...u04u8,one1x...n5949,08/18/2020 14:33:03 MDT,0,0.01000001
0,0x408...c2cdd,one1w...2xt26,one1j...30v2n,08/18/2020 14:32:33 MDT,204000.3483,0.000021
0,0x5cb...792dd,one1t...2r54m,one10...p6gwz,08/18/2020 14:30:22 MDT,12,0.000021
0,0x4e6...0d677,one1w...2xt26,one1p...qut8w,08/18/2020 14:30:22 MDT,10406.582,0.000021
0,0x828...a36b6,one1j...u04u8,one1x...n5949,08/18/2020 14:28:06 MDT,0,0.01000001
0,0x9a5...4b6c2,one1w...2xt26,one1j...30v2n,08/18/2020 14:26:16 MDT,127.999,0.000021
0,0xa3c...12247,one1j...u04u8,one1x...n5949,08/18/2020 14:23:05 MDT,0,0.01000001
0,0x23e...f4737,one1c...jec4d,one1u...edhd7,08/18/2020 14:21:53 MDT,3423580.999,0
0,0xdcf...dba74,one1l...4p4p3,one1w...2xt26,08/18/2020 14:19:44 MDT,24009.2,0.000021
0,0x8f7...db0e4,one1j...u04u8,one1x...n5949,08/18/2020 14:18:04 MDT,0,0.01000001
0,0x87f...2d13f,one1w...2xt26,one1c...jec4d,08/18/2020 14:16:09 MDT,3423580.999,0.000021
0,0x6ed...f34bf,one1m...4qnr5,one1w...2xt26,08/18/2020 14:16:09 MDT,378090.0718,0.000021
0,0xc7c...605d8,one1r...f64yy,one1j...aj4pr,08/18/2020 14:14:05 MDT,0,0.0067219
0,0xf17...9c311,one1j...u04u8,one1x...n5949,08/18/2020 14:13:05 MDT,0,0.01000001
0,0x500...29584,one1r...f64yy,one1j...aj4pr,08/18/2020 14:13:05 MDT,0,0.0067219
0,0x7da...693ac,one1r...f64yy,one1j...aj4pr,08/18/2020 14:12:10 MDT,0,0.0067219
0,0xd1f...26b60,one1q...8wd2t,one12...wy6vj,08/18/2020 14:11:45 MDT,127935,0.00021
0,0x20b...49850,one1r...f64yy,one1j...aj4pr,08/18/2020 14:11:15 MDT,0,0.0067219
0,0xd31...5f639,one1q...8wd2t,one1c...xfw2j,08/18/2020 14:08:12 MDT,218378,0.00021
0,0x4e3...3f41c,one1j...u04u8,one1x...n5949,08/18/2020 14:08:07 MDT,0,0.01000001
0,0xcb5...87bf4,one1q...wntvf,one18...u0x94,08/18/2020 14:06:17 MDT,4000,0.000021
0,0x89c...28e07,one13...jpazz,one1y...3s735,08/18/2020 14:05:00 MDT,0,0.0067219
0,0xe07...c9f33,one13...jpazz,one1j...aj4pr,08/18/2020 14:04:30 MDT,0,0.0067219
0,0x828...6abac,one1w...2xt26,one1e...6wj2p,08/18/2020 14:04:00 MDT,1198.799,0.000021
0,0x1f9...77a31,one1j...u04u8,one1x...n5949,08/18/2020 14:03:05 MDT,0,0.01000001
0,0x63a...5442c,one1t...2r54m,one10...p6gwz,08/18/2020 14:00:13 MDT,11,0.000021
0,0xb2a...ed3ff,one1j...u04u8,one1x...n5949,08/18/2020 13:58:03 MDT,0,0.01000001
0,0x490...d01a2,one1l...v6jm4,one1w...2xt26,08/18/2020 13:55:23 MDT,36658,0.000021
0,0x74b...2e2c0,one1w...2xt26,one1e...0v3qy,08/18/2020 13:53:53 MDT,1150.999,0.000021
0,0x067...f5c98,one1j...u04u8,one1x...n5949,08/18/2020 13:53:08 MDT,0,0.01000001
0,0xb8b...0579c,one1a...d4q3u,one1w...2xt26,08/18/2020 13:52:58 MDT,47660,0.000021
0,0x535...56a88,one1u...6y4ay,one1k...5n8gt,08/18/2020 13:52:23 MDT,1293.3413,0.000021
0,0xe4c...2b05c,one1m...kvnag,one1q...vwjrq,08/18/2020 13:49:53 MDT,22729.2631,0
0,0x343...1f50b,one1m...ql3s9,one1l...ln4wd,08/18/2020 13:48:48 MDT,420,0.000021
0,0xc5c...ef45c,one1j...u04u8,one1x...n5949,08/18/2020 13:48:03 MDT,0,0.01000001
0,0x3bc...38a05,one1m...ql3s9,one1v...6xgcm,08/18/2020 13:47:58 MDT,0,0.0067219
0,0x466...258b0,one1m...ql3s9,one1g...x80cy,08/18/2020 13:47:43 MDT,0,0.0067219
0,0xa74...57809,one1m...ql3s9,one19...jgflt,08/18/2020 13:47:23 MDT,0,0.0067219
0,0xf67...f8aea,one1m...ql3s9,one1t...990dw,08/18/2020 13:47:08 MDT,0,0.0067219
0,0x53c...a9682,one1m...ql3s9,one1t...990dw,08/18/2020 13:46:53 MDT,0,0.0067219
0,0x3b7...e9f62,one1m...ql3s9,one1e...292s6,08/18/2020 13:46:38 MDT,0,0.0067219
0,0xd0f...50ff8,one1m...ql3s9,one1r...kc8ld,08/18/2020 13:45:53 MDT,0,0.0067219
0,0x2f6...dff6d,one1j...u04u8,one1x...n5949,08/18/2020 13:43:03 MDT,0,0.01000001
0,0x161...2f63a,one1k...5n8gt,one1p...kw9vr,08/18/2020 13:41:03 MDT,40110.1769,0.000021
0,0xe01...d9392,one1k...5n8gt,one1u...6y4ay,08/18/2020 13:39:23 MDT,1293.3413,0.000021
0,0x0d2...fd541,one1j...u04u8,one1x...n5949,08/18/2020 13:38:02 MDT,0,0.01000001
0,0x67c...00913,one1j...u04u8,one1x...n5949,08/18/2020 13:33:06 MDT,0,0.01000001
0,0xa5b...3ea29,one1t...2r54m,one10...p6gwz,08/18/2020 13:30:15 MDT,12,0.000021
0,0x37b...40a85,one1j...u04u8,one1x...n5949,08/18/2020 13:28:05 MDT,0,0.01000001
0,0x2da...c53e6,one1j...u04u8,one1x...n5949,08/18/2020 13:23:05 MDT,0,0.01000001
0,0xf39...7a31b,one1h...hwekv,one1w...2xt26,08/18/2020 13:22:55 MDT,298.998,0.000021
0,0x8a7...f4b9a,one1j...u04u8,one1x...n5949,08/18/2020 13:18:05 MDT,0,0.01000001
0,0x869...23337,one1e...awyws,one1w...2xt26,08/18/2020 13:17:45 MDT,25,0.000021
0,0xa8e...dbb41,one1j...u04u8,one1x...n5949,08/18/2020 13:13:05 MDT,0,0.01000001
0,0xf42...2b1e4,one1w...2xt26,one1t...75qpn,08/18/2020 13:09:40 MDT,11049.499,0.000021
0,0x56b...3b1f0,one1j...u04u8,one1x...n5949,08/18/2020 13:08:05 MDT,0,0.01000001
0,0x919...3e15d,one1j...u04u8,one1x...n5949,08/18/2020 13:03:05 MDT,0,0.01000001
0,0xaf1...9f0f0,one1t...2r54m,one10...p6gwz,08/18/2020 13:00:15 MDT,12,0.000021
0,0x9a1...d7238,one1n...nz6ad,one1k...5n8gt,08/18/2020 13:00:05 MDT,1250,0.000021
0,0xc40...8c8e9,one1x...2tzk2,one13...pmsf3,08/18/2020 12:59:25 MDT,460000,0.000756
0,0x5ec...b0f34,one1m...kvnag,one12...s57k0,08/18/2020 12:58:35 MDT,8625.8763,0
0,0xd83...c4120,one1j...u04u8,one1x...n5949,08/18/2020 12:58:05 MDT,0,0.01000001
0,0xad2...92f7b,one1l...vfw72,one1l...synx2,08/18/2020 12:53:10 MDT,1500000.999,0.000021
0,0x4f7...4a288,one1j...u04u8,one1x...n5949,08/18/2020 12:53:05 MDT,0,0.01000001
0,0x1a4...25511,one1w...2xt26,one10...qewsp,08/18/2020 12:51:30 MDT,235414.949,0.000021
0,0xaa4...658f3,one1q...8wd2t,one18...zp09d,08/18/2020 12:49:28 MDT,231756,0.00021
0,0x985...7f1cd,one1j...u04u8,one1x...n5949,08/18/2020 12:48:07 MDT,0,0.01000001
0,0xa7d...3a717,one12...lfvvs,one12...au6x9,08/18/2020 12:47:22 MDT,18000,0.000021
0,0x25c...e7c4b,one1k...5n8gt,one1n...nz6ad,08/18/2020 12:47:17 MDT,1250,0.000021
0,0x04f...550a2,one1z...yqzvd,one14...83upj,08/18/2020 12:46:02 MDT,560,0.000042
0,0x2de...94824,one1j...u04u8,one1x...n5949,08/18/2020 12:43:06 MDT,0,0.01000001
0,0x38d...dbed7,one1q...90rlm,one12...aknsu,08/18/2020 12:41:41 MDT,3049,0.000021
0,0x8b3...9d708,one1n...vft48,one1a...lcy6f,08/18/2020 12:41:01 MDT,1000,0.000021
0,0x40c...d8265,one1e...nd4cz,one1d...9euf6,08/18/2020 12:38:21 MDT,50126.483,0.000021
0,0x2be...dd746,one1j...u04u8,one1x...n5949,08/18/2020 12:38:06 MDT,0,0.01000001
